No Panel,Inverter Qty and Model,Panel Type,Package Name,Invoice Description,Package Type,Package Price,Nett Price After Discount,DC Cable,DC cable qty (m),mc4 qty(PAIR),Mounting structure,AC Cable,AC cable qty (m),Breaker,SPD,PV METER,PVC DB BOX
8,2 X M2-1.8K-S4,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon,[1P]MICRO SAJ JINKO 8 PCS 650W,"8 X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon
 2 X M2-1.8K-S4
 1X SEDA ATAP SOLAR Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift
 3 Year MSIG All-Risk Solar System Coverage up to RM10000 assured",Residential,"RM20,600.00","RM17,440.00",Master Tec 4mm DC Cable,16,16,8 unit,SYNTHETIC RUBBER FLEXIBLE CORD 3*4mm,20,EPS 2P32A,2P SPD,2P PV METER,8.5 way
9,"2 X M2-1.8K-S4
 1 X M2-1.0K-S2",650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon,[1P]MICRO SAJ JINKO 9 PCS 650W,"9 X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon
 2 X M2-1.8K-S4
 1 X M2-1.0K-S2
 1X SEDA ATAP SOLAR Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift
 3 Year MSIG All-Risk Solar System Coverage up to RM10000 assured",Residential,"RM22,360.00","RM18,970.00",Master Tec 4mm DC Cable,18,18,9 unit,SYNTHETIC RUBBER FLEXIBLE CORD 3*4mm,20,EPS 2P32A,2P SPD,2P PV METER,8.5 way
10,"2 X M2-1.8K-S4
 1 X M2-1.0K-S2",650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon,[1P]MICRO SAJ JINKO 10 PCS 650W,"10 X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon
 2 X M2-1.8K-S4
 1 X M2-1.0K-S2
 1X SEDA ATAP SOLAR Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift
 3 Year MSIG All-Risk Solar System Coverage up to RM10000 assured",Residential,"RM23,840.00","RM20,180.00",Master Tec 4mm DC Cable,20,20,10 unit,SYNTHETIC RUBBER FLEXIBLE CORD 3*4mm,20,EPS 2P32A,2P SPD,2P PV METER,8.5 way
11,3 X M2-1.8K-S4,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon,[1P]MICRO SAJ JINKO 11 PCS 650W,"11 X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon
 3 X M2-1.8K-S4
 1X SEDA ATAP SOLAR Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift
 3 Year MSIG All-Risk Solar System Coverage up to RM10000 assured",Residential,"RM25,460.00","RM21,570.00",Master Tec 4mm DC Cable,22,22,11 unit,SYNTHETIC RUBBER FLEXIBLE CORD 3*4mm,20,EPS 2P32A,2P SPD,2P PV METER,8.5 way
12,3 X M2-1.8K-S4,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon,[1P]MICRO SAJ JINKO 12 PCS 650W,"12 X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon
 3 X M2-1.8K-S4
 1X SEDA ATAP SOLAR Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift
 3 Year MSIG All-Risk Solar System Coverage up to RM10000 assured",Residential,"RM26,740.00","RM22,630.00",Master Tec 4mm DC Cable,24,24,12 unit,SYNTHETIC RUBBER FLEXIBLE CORD 3*4mm,20,EPS 2P32A,2P SPD,2P PV METER,8.5 way
9,"2 X M2-1.8K-S4
 1 X M2-1.0K-S2",650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon,[3P]MICRO SAJ JINKO 9 PCS 650W,"9 X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon
 2 X M2-1.8K-S4
 1 X M2-1.0K-S2
 1X SEDA ATAP SOLAR Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift
 3 Year MSIG All-Risk Solar System Coverage up to RM10000 assured",Residential,"RM24,760.00","RM19,780.00",Master Tec 4mm DC Cable,18,18,9 unit,SYNTHETIC RUBBER FLEXIBLE CORD 3*4mm,60,EPS 3P32A,4P SPD,4P PV METER,10.5 way
10,"2 X M2-1.8K-S4
 1 X M2-1.0K-S2",650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon,[3P]MICRO SAJ JINKO 10 PCS 650W,"10 X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon
 2 X M2-1.8K-S4
 1 X M2-1.0K-S2
 1X SEDA ATAP SOLAR Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift
 3 Year MSIG All-Risk Solar System Coverage up to RM10000 assured",Residential,"RM26,050.00","RM20,770.00",Master Tec 4mm DC Cable,20,20,10 unit,SYNTHETIC RUBBER FLEXIBLE CORD 3*4mm,60,EPS 3P32A,4P SPD,4P PV METER,10.5 way
11,3 X M2-1.8K-S4,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon,[3P]MICRO SAJ JINKO 11 PCS 650W,"11 X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon
 3 X M2-1.8K-S4
 1X SEDA ATAP SOLAR Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift
 3 Year MSIG All-Risk Solar System Coverage up to RM10000 assured",Residential,"RM27,670.00","RM22,100.00",Master Tec 4mm DC Cable,22,22,11 unit,SYNTHETIC RUBBER FLEXIBLE CORD 3*4mm,60,EPS 3P32A,4P SPD,4P PV METER,10.5 way
12,3 X M2-1.8K-S4,650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon,[3P]MICRO SAJ JINKO 12 PCS 650W,"12 X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon
 3 X M2-1.8K-S4
 1X SEDA ATAP SOLAR Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift
 3 Year MSIG All-Risk Solar System Coverage up to RM10000 assured",Residential,"RM28,990.00","RM23,120.00",Master Tec 4mm DC Cable,24,24,12 unit,SYNTHETIC RUBBER FLEXIBLE CORD 3*4mm,60,EPS 3P32A,4P SPD,4P PV METER,10.5 way
13,"3 X M2-1.8K-S4
 1 X M2-1.0K-S2",650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon,[3P]MICRO SAJ JINKO 13 PCS 650W,"13 X 650W JinkoSolar TIGER NEO 3.0 Panel N-Type TOPCon
 3 X M2-1.8K-S4
 1 X M2-1.0K-S2
 1X SEDA ATAP SOLAR Application
 TNB Smart Meter Application
 Solar System Architecture Design
 Electrical System Design
 Roof and Site Surveying
 Roof Panel Installation
 Electrical Works
 SkyLift
 3 Year MSIG All-Risk Solar System Coverage up to RM10000 assured",Residential,"RM30,730.00","RM24,590.00",Master Tec 4mm DC Cable,26,26,13 unit,SYNTHETIC RUBBER FLEXIBLE CORD 3*4mm,60,EPS 3P32A,4P SPD,4P PV METER,10.5 way
