EV CHARGER INSTALLATION(WITH EV CHARGER),,,,,,,
,,,,,,,
SINGLE PHASE WITH 7KW EV WALLBOX CHARGER,,,THREE PHASE WITH 11KW EV WALLBOX CHARGER,,,THREE PHASE WITH 22KW EV WALLBOX CHARGER,
ITEM,QTY,,ITEM,QTY,,ITEM,QTY
3 x 1C 6MM AC CABLE,15M,,5 x 1C 6MM AC CABLE ,15M,,5 x 1C 6MM AC CABLE ,15M
8WAY MCB BOX,1PCS,,8 WAY MCB BOX,1PCS,,8 WAY MCB BOX,1PCS
2P40A RCBO (TYPE A),1PCS,,4P40A RCBO (TYPE A),1PCS,,4P40A RCBO (TYPE A),1PCS
ARMORVOLT MODEL 107（1year warranty),1PCS,,ARMORVOLT MODEL 111 (1year warranty),1PCS,,ARMORVOLT MODEL 122 (1 year warranty),1PCS
,,,,,,,
SINGLE PHASE INSTALLATION WITH EV CHARGER(RM2388),,,SINGLE PHASE INSTALLATION WITH EV CHARGER(RM2788),,,SINGLE PHASE INSTALLATION WITH EV CHARGER(RM2888),
1.INSTALLATION OF EV WALLBOX CHAGER 7KW SINGLE PHASE,RM2388,,1.INSTALLATION OF EV WALLBOX CHAGER 11/22KW SINGLE PHASE,RM2788,,1.INSTALLATION OF EV WALLBOX CHAGER 11/22KW SINGLE PHASE,RM2888
,,,,,,,
a.Install of ARMORVOLT MODEL 107 EV Wallbox Charger,,,a.Install of ARMORVOLT MODEL 111 EV Wallbox Charger,,,a.Install of ARMORVOLT MODEL 122 EV Wallbox Charger,
b.Single phase current 7kw output,,,b.Three phase current 11/22kw output,,,b.Three phase current 11/22kw output,
c.Pair of safety breaker for over-current protection current leakage protection,,,c.Pair of safety breaker for over-current protection current leakage protection,,,c.Pair of safety breaker for over-current protection current leakage protection,
d.Testing &Commissioning,,,d.Testing &Commissioning,,,d.Testing &Commissioning,
e.1 Year installation warranty,,,e.1 Year installation warranty,,,e.1 Year installation warranty,
f.To lay standard cabling 3 x 1C 6mm2 PVC Cable from distribution board to chager location.(EST 15m),,,f.To lay standard cabling 5 x 1C 6mm2 PVC Cable from distribution board to chager location.(EST 15m),,,f.To lay standard cabling 5 x 1C 6mm2 PVC Cable from distribution board to chager location.(EST 15m),
g.ARMORVOLT MODEL 107  come with 1year warranty,,,g.ARMORVOLT MODEL 111  come with 1year warranty,,,g.ARMORVOLT MODEL 122  come with 1year warranty,
,,,,,,,
Extra Charges list,,,Extra Charges list,,,Extra Charges list,
*site visit before install(pay before visit),RM150/visit,,*site visit before install(pay before visit),RM150/visit,,*site visit before install(pay before visit),RM150/visit
*Extra Cable（If over 15M）,RM40/Meter,,*Extra Cable（If over 15M）,RM40/Meter,,*Extra Cable（If over 15M）,RM40/Meter
*Upgrade Cable from 6mm to 10mm,RM15/M,,*Upgrade Cable from 6mm to 10mm,RM15/M,,*Upgrade Cable from 6mm to 10mm,RM15/M
*CONCEAL&HACKING without paint,RM150/M,,*CONCEAL&HACKING without paint,RM150/M,,*CONCEAL&HACKING without paint,RM150/M
*CEILING open hole and make good without paint,RM90/hole,,*CEILING open hole and make good without paint,RM90/hole,,*CEILING open hole and make good without paint,RM90/hole
*Additional wall crossing fee(if more than 1 wall),RM50/wall,,*Additional wall crossing fee(if more than 1 wall),RM50/wall,,*Additional wall crossing fee(if more than 1 wall),RM50/wall
*Additional 1pcs 3P63A Weatherproof Isolator,RM150/Pcs,,*Additional 1pcs 3P63A Weatherproof Isolator,RM150/Pcs,,*Additional 1pcs 3P63A Weatherproof Isolator,RM150/Pcs
